Fig. Number,Product Type,VIR Item Code,Product Category,Product Active,Manufacturer,Vendor Name,Sales End Date,Sales Start Date,Support Expiry Date,Support Start Date,Website,Serial No,Product Sheet,Size - mm,Modified Time,GL Account,Created By,Created Time,Origin,Product ID,Source,Last Modified By,Record Currency,Record Conversion Rate,Test field,Barcode,HSN Code,test Pratim field,Unit Price,Commission Rate,Purchase Cost,Billing Type,Usage Unit,Qty/Unit,Qty. in Stock,Reorder Level,Handler,Reserved Stock,Defective Stock,Reorder Qty,Available Stock,Committed Stock,Incoming Stock,Product Image,Description,VAT,VAT-UAE,VAT-Exports,Service,Service-Exports,Service-UAE,Sales,Shipping & Handling Tax,Shipping & Handling Tax-UAE,Shipping & Handling Tax-Exports,VAT On Shipping & Documents,VAT On Shipping & Documents-UAE,VAT On Shipping & Documents-Exports
9505,Solo,F9505B020.946,STATIC BALANCING,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,20,17-12-25 11:51,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO44,IMPORT,y.ali@virme.ae,AED,1,,,,1234,182.22,0,70.08,,Pieces,,1649,0,y.ali@virme.ae,0,0,0,49,1600,465,,"VARIABLE ORIFICE BRONZE DOUBLE REGULATING VALVE, WITH TEST POINTS, THREADED TO BS21, PN25",,,,,,,,,,,,,
9555P,Solo,F9500I100.1959,STATIC BALANCING,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,100,17-12-25 11:51,,a.jacob@virme.ae,29-10-17 7:23,POLAND,PRO65,IMPORT,y.ali@virme.ae,AED,1,,,,1234,1856.67,0,3134.05,,Pieces,,14,0,y.ali@virme.ae,0,0,0,-28,42,35,,"CAST IRON DOUBLE REGULATING VALVE WITH TEST POINTS, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
9555P,Solo,F9500I200.1959,STATIC BALANCING,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,200,17-12-25 11:51,,a.jacob@virme.ae,29-10-17 7:23,POLAND,PRO68,IMPORT,y.ali@virme.ae,AED,1,,,,1234,6096.01,0,3293.42,,Pieces,,2,0,y.ali@virme.ae,0,0,0,-10,12,17,,"CAST IRON DOUBLE REGULATING VALVE WITH TEST POINTS, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
4325L,Solo,F4325L065.929,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,65,17-12-25 11:51,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO255,IMPORT,y.ali@virme.ae,AED,1,,,,1234,277.67,0,1230.75,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-143,143,349,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, STAINLESS STEEL DISC AND STEM, EPDM LINED, LEVER OPERATED, PN16",,,,,,,,,,,,,
895,Solo,F8951I100.842,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,100,17-12-25 11:51,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO359,IMPORT,d.estay@virme.ae,AED,1,,,,1234,501.68,0,203.96,,Pieces,,8,0,y.ali@virme.ae,0,0,0,-6,14,37,,"CAST IRON STRAINER, SS SCREEN, 1.5MM PERFORATION, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
40,Solo,F040K0065.1872,GATE VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,65,17-12-25 11:50,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO156,IMPORT,d.estay@virme.ae,AED,1,,,,1234,221.66,0,96.54,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-130,130,130,,"BRASS GATE VALVES, NON RISING STEM, THREADED TO BS21, PN16",,,,,,,,,,,,,
4325L,Solo,F4325L125.929,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,125,17-12-25 11:50,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO258,IMPORT,y.ali@virme.ae,AED,1,,,,1234,643.13,0,801.28,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-19,19,39,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, STAINLESS STEEL DISC AND STEM, EPDM LINED, LEVER OPERATED, PN16",,,,,,,,,,,,,
4325G,Solo,F4325G200.1009,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,200,17-12-25 11:50,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO268,IMPORT,d.estay@virme.ae,AED,1,,,,1234,1866.69,0,504.91,,Pieces,,14,0,y.ali@virme.ae,0,0,0,-11,25,38,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, STAINLESS STEEL DISC AND STEM, EPDM LINED, GEAR OPERATED, PN16",,,,,,,,,,,,,
90,Solo,F0900B020.2683,GATE VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,20,17-12-25 11:46,,y.ali@virme.ae,25-02-18 13:12,ITALY,PRO895,CRM,y.ali@virme.ae,AED,1,,,,1234,66.86,0,27.64,,Pieces,,4884,0,y.ali@virme.ae,0,0,0,-1282,6166,7850,,"BRONZE GATE VALVES, NON RISING STEM, THREADED TO BS21, PN16",,,,,,,,,,,,,
90,Solo,F0900B025.2683,GATE VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,25,17-12-25 11:46,,y.ali@virme.ae,25-02-18 13:13,ITALY,PRO896,CRM,y.ali@virme.ae,AED,1,,,,1234,86.62,0,528.44,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-1852,1852,6150,,"BRONZE GATE VALVES, NON RISING STEM, THREADED TO BS21, PN16",,,,,,,,,,,,,
9380,Solo,F9380I025.2833,ACCESSORIES,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,25,17-12-25 11:32,,a.jacob@virme.ae,29-10-17 7:24,CHINA,PRO538,IMPORT,d.estay@virme.ae,AED,1,,,,1234,193.43,0,105.51,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-356,356,363,,"CAST IRON AUTOMATIC AIR VENT, THREADED ENDS TO BS21,PN16",,,,,,,,,,,,,
4325G,Solo,F4325G150.1009,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,150,17-12-25 11:31,,y.ali@virme.ae,12-12-19 6:57,CHINA,PRO1077,CRM,y.ali@virme.ae,AED,1,,,,1234,607.18,0,1216.31,,Pieces,,23,0,y.ali@virme.ae,0,0,0,23,0,0,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, STAINLESS STEEL DISC AND STEM, EPDM LINED, GEAR OPERATED, PN16",,,,,,,,,,,,,
776,Solo,F77600080.1013,CHECK VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,80,17-12-25 11:20,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO291,IMPORT,y.ali@virme.ae,AED,1,,,,1234,414.5,0,107.02,,Pieces,,28,0,y.ali@virme.ae,0,0,0,28,0,81,,"CAST IRON DUAL PLATE CHECK VALVE, WAFER TYPE, STAINLESS STEEL DISC, PN16",,,,,,,,,,,,,
